sample_name,dataset,file,reference_genome
HG01889,1000G,,GRCh37
HG01890,1000G,,GRCh37
HG01892,1000G,,GRCh37
HG01893,1000G,,GRCh37
HG01894,1000G,,GRCh37
HG01896,1000G,,GRCh37
HG01912,1000G,,GRCh37
HG01914,1000G,,GRCh37
HG01915,1000G,,GRCh37
HG01917,1000G,,GRCh37
HG01918,1000G,,GRCh37
HG01920,1000G,,GRCh37
HG01921,1000G,,GRCh37
HG01923,1000G,,GRCh37
HG01924,1000G,,GRCh37
HG01926,1000G,,GRCh37
HG01927,1000G,,GRCh37
HG01932,1000G,,GRCh37
HG01933,1000G,,GRCh37
HG01935,1000G,,GRCh37
HG01936,1000G,,GRCh37
HG01938,1000G,,GRCh37
HG01939,1000G,,GRCh37
HG01941,1000G,,GRCh37
HG01942,1000G,,GRCh37
HG01944,1000G,,GRCh37
HG01945,1000G,,GRCh37
HG01947,1000G,,GRCh37
HG01948,1000G,,GRCh37
HG01950,1000G,,GRCh37
HG01951,1000G,,GRCh37
HG01953,1000G,,GRCh37
HG01954,1000G,,GRCh37
HG01956,1000G,,GRCh37
HG01958,1000G,,GRCh37
HG01961,1000G,,GRCh37
HG01965,1000G,,GRCh37
HG01967,1000G,,GRCh37
HG01968,1000G,,GRCh37
HG01970,1000G,,GRCh37
HG01971,1000G,,GRCh37
HG01973,1000G,,GRCh37
HG01974,1000G,,GRCh37
HG01976,1000G,,GRCh37
HG01977,1000G,,GRCh37
HG01979,1000G,,GRCh37
HG01980,1000G,,GRCh37
HG01982,1000G,,GRCh37
HG01985,1000G,,GRCh37
HG01986,1000G,,GRCh37
HG01988,1000G,,GRCh37
HG01989,1000G,,GRCh37
HG01990,1000G,,GRCh37
HG01991,1000G,,GRCh37
HG01992,1000G,,GRCh37
HG01997,1000G,,GRCh37
HG02002,1000G,,GRCh37
HG02003,1000G,,GRCh37
HG02006,1000G,,GRCh37
HG02008,1000G,,GRCh37
HG02009,1000G,,GRCh37
HG02010,1000G,,GRCh37
HG02012,1000G,,GRCh37
HG02013,1000G,,GRCh37
HG02014,1000G,,GRCh37
HG02016,1000G,,GRCh37
HG02017,1000G,,GRCh37
HG02019,1000G,,GRCh37
HG02020,1000G,,GRCh37
HG02023,1000G,,GRCh37
HG02025,1000G,,GRCh37
HG02026,1000G,,GRCh37
HG02028,1000G,,GRCh37
HG02029,1000G,,GRCh37
HG02031,1000G,,GRCh37
HG02032,1000G,,GRCh37
HG02035,1000G,,GRCh37
HG02040,1000G,,GRCh37
HG02047,1000G,,GRCh37
HG02048,1000G,,GRCh37
HG02049,1000G,,GRCh37
HG02050,1000G,,GRCh37
HG02051,1000G,,GRCh37
HG02052,1000G,,GRCh37
HG02053,1000G,,GRCh37
HG02054,1000G,,GRCh37
HG02057,1000G,,GRCh37
HG02058,1000G,,GRCh37
HG02060,1000G,,GRCh37
HG02061,1000G,,GRCh37
HG02064,1000G,,GRCh37
HG02067,1000G,,GRCh37
HG02069,1000G,,GRCh37
HG02070,1000G,,GRCh37
HG02072,1000G,,GRCh37
HG02073,1000G,,GRCh37
HG02075,1000G,,GRCh37
HG02076,1000G,,GRCh37
HG02078,1000G,,GRCh37
HG02079,1000G,,GRCh37
HG02081,1000G,,GRCh37
HG02082,1000G,,GRCh37
HG02084,1000G,,GRCh37
HG02085,1000G,,GRCh37
HG02086,1000G,,GRCh37
HG02087,1000G,,GRCh37
HG02088,1000G,,GRCh37
HG02089,1000G,,GRCh37
