sample_name,sex,dataset,super-population,sub-population
HGDP00766,Male,HGDP,EAS,Japanese
HGDP00767,Male,HGDP,EAS,Japanese
HGDP00768,Male,HGDP,EAS,Japanese
HGDP00769,Male,HGDP,EAS,Japanese
HGDP00771,Female,HGDP,EAS,Japanese
HGDP00772,Female,HGDP,EAS,Japanese
HGDP00774,Male,HGDP,EAS,Han
HGDP00776,Female,HGDP,EAS,Han
HGDP00777,Male,HGDP,EAS,Han
HGDP00779,Male,HGDP,EAS,Han
HGDP00780,Male,HGDP,EAS,Han
HGDP00781,Female,HGDP,EAS,Han
HGDP00782,Male,HGDP,EAS,Han
HGDP00784,Female,HGDP,EAS,Han
HGDP00786,Male,HGDP,EAS,Han
HGDP00787,Female,HGDP,OCE,Melanesian
HGDP00788,Male,HGDP,OCE,Melanesian
HGDP00790,Male,HGDP,EAS,Japanese
HGDP00791,Male,HGDP,EAS,Japanese
HGDP00794,Female,HGDP,EUR,Orcadian
HGDP00795,Male,HGDP,EUR,Orcadian
HGDP00797,Female,HGDP,EUR,Orcadian
HGDP00799,Female,HGDP,EUR,Orcadian
HGDP00800,Female,HGDP,EUR,Orcadian
HGDP00802,Female,HGDP,EUR,Orcadian
HGDP00803,Male,HGDP,EUR,Orcadian
HGDP00804,Male,HGDP,EUR,Orcadian
HGDP00805,Female,HGDP,EUR,Orcadian
HGDP00806,Female,HGDP,EUR,Orcadian
HGDP00807,Male,HGDP,EUR,Orcadian
HGDP00808,Male,HGDP,EUR,Orcadian
HGDP00810,Male,HGDP,EUR,Orcadian
HGDP00811,Female,HGDP,EAS,Han
HGDP00812,Female,HGDP,EAS,Han
HGDP00813,Female,HGDP,EAS,Han
HGDP00814,Female,HGDP,EAS,Han
HGDP00815,Male,HGDP,EAS,Han
HGDP00817,Female,HGDP,EAS,Han
HGDP00818,Female,HGDP,EAS,Han
HGDP00819,Male,HGDP,EAS,Han
HGDP00820,Female,HGDP,EAS,Han
HGDP00821,Male,HGDP,EAS,Han
HGDP00822,Male,HGDP,EAS,Han
HGDP00823,Male,HGDP,OCE,Melanesian
HGDP00828,Male,HGDP,EAS,Japanese
HGDP00832,Female,HGDP,AMR,Surui
HGDP00837,Male,HGDP,AMR,Surui
HGDP00838,Female,HGDP,AMR,Surui
HGDP00843,Male,HGDP,AMR,Surui
HGDP00845,Male,HGDP,AMR,Surui
HGDP00849,Male,HGDP,AMR,Surui
HGDP00854,Female,HGDP,AMR,Maya
HGDP00856,Male,HGDP,AMR,Maya
HGDP00858,Female,HGDP,AMR,Maya
HGDP00859,Female,HGDP,AMR,Maya
HGDP00860,Female,HGDP,AMR,Maya
HGDP00861,Female,HGDP,AMR,Maya
HGDP00862,Female,HGDP,AMR,Maya
HGDP00863,Female,HGDP,AMR,Maya
HGDP00864,Female,HGDP,AMR,Maya
HGDP00865,Female,HGDP,AMR,Maya
HGDP00868,Female,HGDP,AMR,Maya
HGDP00869,Female,HGDP,AMR,Maya
HGDP00870,Female,HGDP,AMR,Maya
HGDP00871,Female,HGDP,AMR,Maya
HGDP00872,Female,HGDP,AMR,Maya
HGDP00873,Female,HGDP,AMR,Maya
HGDP00875,Female,HGDP,AMR,Maya
HGDP00876,Female,HGDP,AMR,Maya
HGDP00877,Male,HGDP,AMR,Maya
HGDP00879,Male,HGDP,EUR,Russian
HGDP00880,Male,HGDP,EUR,Russian
HGDP00881,Female,HGDP,EUR,Russian
HGDP00882,Male,HGDP,EUR,Russian
HGDP00883,Male,HGDP,EUR,Russian
HGDP00884,Female,HGDP,EUR,Russian
HGDP00885,Female,HGDP,EUR,Russian
HGDP00886,Male,HGDP,EUR,Russian
HGDP00888,Male,HGDP,EUR,Russian
HGDP00889,Female,HGDP,EUR,Russian
HGDP00890,Male,HGDP,EUR,Russian
HGDP00891,Male,HGDP,EUR,Russian
HGDP00892,Male,HGDP,EUR,Russian
HGDP00893,Male,HGDP,EUR,Russian
HGDP00894,Male,HGDP,EUR,Russian
HGDP00895,Male,HGDP,EUR,Russian
HGDP00896,Male,HGDP,EUR,Russian
HGDP00897,Male,HGDP,EUR,Russian
HGDP00898,Female,HGDP,EUR,Russian
HGDP00899,Female,HGDP,EUR,Russian
HGDP00900,Male,HGDP,EUR,Russian
HGDP00901,Female,HGDP,EUR,Russian
HGDP00902,Female,HGDP,EUR,Russian
HGDP00904,Male,HGDP,AFR,Mandenka
HGDP00905,Male,HGDP,AFR,Mandenka
HGDP00906,Male,HGDP,AFR,Mandenka
HGDP00907,Male,HGDP,AFR,Mandenka
HGDP00908,Male,HGDP,AFR,Mandenka
HGDP00909,Female,HGDP,AFR,Mandenka
HGDP00910,Female,HGDP,AFR,Mandenka
HGDP00911,Male,HGDP,AFR,Mandenka
HGDP00912,Male,HGDP,AFR,Mandenka
HGDP00913,Male,HGDP,AFR,Mandenka
HGDP00914,Female,HGDP,AFR,Mandenka
HGDP00916,Female,HGDP,AFR,Mandenka
HGDP00917,Female,HGDP,AFR,Mandenka
HGDP00918,Female,HGDP,AFR,Mandenka
HGDP00919,Male,HGDP,AFR,Mandenka
HGDP00920,Female,HGDP,AFR,Yoruba
HGDP00924,Female,HGDP,AFR,Yoruba
HGDP00925,Female,HGDP,AFR,Yoruba
HGDP00926,Female,HGDP,AFR,Yoruba
HGDP00929,Male,HGDP,AFR,Yoruba
HGDP00930,Male,HGDP,AFR,Yoruba
HGDP00931,Male,HGDP,AFR,Yoruba
HGDP00933,Female,HGDP,AFR,Yoruba
HGDP00934,Female,HGDP,AFR,Yoruba
HGDP00935,Female,HGDP,AFR,Yoruba
HGDP00937,Male,HGDP,AFR,Yoruba
HGDP00938,Female,HGDP,AFR,Yoruba
HGDP00939,Female,HGDP,AFR,Yoruba
HGDP00940,Male,HGDP,AFR,Yoruba
HGDP00941,Male,HGDP,AFR,Yoruba
HGDP00942,Male,HGDP,AFR,Yoruba
HGDP00943,Male,HGDP,AFR,Yoruba
HGDP00944,Male,HGDP,AFR,Yoruba
HGDP00945,Male,HGDP,EAS,Yakut
HGDP00946,Male,HGDP,EAS,Yakut
HGDP00947,Male,HGDP,EAS,Yakut
HGDP00948,Male,HGDP,EAS,Yakut
HGDP00949,Male,HGDP,EAS,Yakut
HGDP00950,Male,HGDP,EAS,Yakut
HGDP00952,Male,HGDP,EAS,Yakut
HGDP00953,Male,HGDP,EAS,Yakut
HGDP00954,Male,HGDP,EAS,Yakut
HGDP00955,Female,HGDP,EAS,Yakut
HGDP00957,Female,HGDP,EAS,Yakut
HGDP00958,Male,HGDP,EAS,Yakut
HGDP00959,Female,HGDP,EAS,Yakut
HGDP00960,Male,HGDP,EAS,Yakut
HGDP00961,Male,HGDP,EAS,Yakut
HGDP00962,Male,HGDP,EAS,Yakut
HGDP00963,Female,HGDP,EAS,Yakut
HGDP00964,Male,HGDP,EAS,Yakut
HGDP00965,Male,HGDP,EAS,Yakut
HGDP00966,Female,HGDP,EAS,Yakut
HGDP00967,Female,HGDP,EAS,Yakut
HGDP00968,Male,HGDP,EAS,Yakut
HGDP00969,Male,HGDP,EAS,Yakut
HGDP00970,Female,HGDP,AMR,Colombian
HGDP00971,Male,HGDP,EAS,Han
HGDP00972,Female,HGDP,EAS,Han
HGDP00973,Male,HGDP,EAS,Han
HGDP00974,Female,HGDP,EAS,Han
HGDP00975,Female,HGDP,EAS,Han
HGDP00976,Female,HGDP,EAS,Han
HGDP00977,Male,HGDP,EAS,Han
HGDP00981,Male,HGDP,AFR,BiakaPygmy
HGDP00983,Male,HGDP,AFR,MbutiPygmy
HGDP00984,Male,HGDP,AFR,MbutiPygmy
HGDP00985,Male,HGDP,AFR,BiakaPygmy
HGDP00986,Male,HGDP,AFR,BiakaPygmy
HGDP00992,Male,HGDP,AFR,San
HGDP00993,Male,HGDP,AFR,BantuSouthAfrica
HGDP00994,Male,HGDP,AFR,BantuSouthAfrica
HGDP00995,Female,HGDP,AMR,Karitiana
HGDP00999,Female,HGDP,AMR,Karitiana
HGDP01001,Female,HGDP,AMR,Karitiana
HGDP01006,Female,HGDP,AMR,Karitiana
HGDP01009,Male,HGDP,AMR,Karitiana
HGDP01010,Female,HGDP,AMR,Karitiana
HGDP01013,Male,HGDP,AMR,Karitiana
HGDP01014,Female,HGDP,AMR,Karitiana
HGDP01019,Male,HGDP,AMR,Karitiana
HGDP01021,Female,HGDP,EAS,Han
HGDP01023,Female,HGDP,EAS,Han
HGDP01024,Female,HGDP,EAS,Han
HGDP01027,Female,HGDP,OCE,Melanesian
HGDP01029,Male,HGDP,AFR,San
HGDP01031,Male,HGDP,AFR,BantuSouthAfrica
HGDP01033,Male,HGDP,AFR,BantuSouthAfrica
HGDP01037,Male,HGDP,AMR,Pima
HGDP01041,Female,HGDP,AMR,Pima
HGDP01043,Male,HGDP,AMR,Pima
HGDP01050,Male,HGDP,AMR,Pima
HGDP01051,Female,HGDP,AMR,Pima
HGDP01053,Female,HGDP,AMR,Pima
HGDP01055,Male,HGDP,AMR,Pima
HGDP01056,Female,HGDP,AMR,Pima
HGDP01057,Male,HGDP,AMR,Pima
HGDP01058,Female,HGDP,AMR,Pima
HGDP01059,Male,HGDP,AMR,Pima
HGDP01060,Male,HGDP,AMR,Pima
HGDP01062,Female,HGDP,EUR,Sardinian
HGDP01063,Male,HGDP,EUR,Sardinian
HGDP01064,Female,HGDP,EUR,Sardinian
HGDP01065,Female,HGDP,EUR,Sardinian
HGDP01066,Male,HGDP,EUR,Sardinian
HGDP01067,Male,HGDP,EUR,Sardinian
HGDP01068,Female,HGDP,EUR,Sardinian
HGDP01069,Male,HGDP,EUR,Sardinian
HGDP01070,Female,HGDP,EUR,Sardinian
HGDP01071,Male,HGDP,EUR,Sardinian
HGDP01072,Female,HGDP,EUR,Sardinian
HGDP01073,Male,HGDP,EUR,Sardinian
HGDP01074,Female,HGDP,EUR,Sardinian
HGDP01075,Male,HGDP,EUR,Sardinian
HGDP01077,Male,HGDP,EUR,Sardinian
HGDP01081,Male,HGDP,AFR,MbutiPygmy
HGDP01086,Male,HGDP,AFR,BiakaPygmy
HGDP01087,Male,HGDP,AFR,BiakaPygmy
HGDP01090,Male,HGDP,AFR,BiakaPygmy
HGDP01092,Male,HGDP,AFR,BiakaPygmy
HGDP01094,Male,HGDP,AFR,BiakaPygmy
HGDP01096,Male,HGDP,EAS,Tujia
HGDP01097,Male,HGDP,EAS,Tujia
HGDP01099,Male,HGDP,EAS,Tujia
HGDP01100,Male,HGDP,EAS,Tujia
HGDP01101,Male,HGDP,EAS,Tujia
HGDP01102,Male,HGDP,EAS,Tujia
HGDP01103,Male,HGDP,EAS,Tujia
HGDP01104,Male,HGDP,EAS,Tujia
HGDP01149,Male,HGDP,EUR,Italian
HGDP01151,Male,HGDP,EUR,Italian
HGDP01152,Male,HGDP,EUR,Italian
HGDP01155,Male,HGDP,EUR,Italian
HGDP01156,Female,HGDP,EUR,Italian
HGDP01157,Unknown,HGDP,EUR,Italian
HGDP01161,Male,HGDP,EUR,Tuscan
HGDP01162,Male,HGDP,EUR,Tuscan
HGDP01164,Male,HGDP,EUR,Tuscan
HGDP01166,Male,HGDP,EUR,Tuscan
HGDP01167,Male,HGDP,EUR,Tuscan
HGDP01169,Female,HGDP,EUR,Tuscan
HGDP01171,Female,HGDP,EUR,Italian
HGDP01173,Male,HGDP,EUR,Italian
HGDP01174,Male,HGDP,EUR,Italian
HGDP01177,Female,HGDP,EUR,Italian
HGDP01180,Male,HGDP,EAS,Yi
HGDP01181,Male,HGDP,EAS,Yi
HGDP01182,Male,HGDP,EAS,Yi
HGDP01183,Male,HGDP,EAS,Yi
HGDP01184,Male,HGDP,EAS,Yi
HGDP01185,Male,HGDP,EAS,Yi
HGDP01186,Male,HGDP,EAS,Yi
HGDP01187,Male,HGDP,EAS,Yi
HGDP01189,Male,HGDP,EAS,Miao
HGDP01190,Male,HGDP,EAS,Miao
HGDP01192,Male,HGDP,EAS,Miao
HGDP01193,Male,HGDP,EAS,Miao
HGDP01194,Male,HGDP,EAS,Miao
HGDP01195,Male,HGDP,EAS,Miao
HGDP01196,Female,HGDP,EAS,Miao
HGDP01197,Female,HGDP,EAS,Miao
HGDP01200,Male,HGDP,AFR,Mandenka
HGDP01201,Female,HGDP,AFR,Mandenka
HGDP01202,Male,HGDP,AFR,Mandenka
HGDP01204,Male,HGDP,EAS,Oroqen
HGDP01205,Male,HGDP,EAS,Oroqen
HGDP01206,Male,HGDP,EAS,Oroqen
HGDP01207,Male,HGDP,EAS,Oroqen
HGDP01208,Unknown,HGDP,EAS,Oroqen
HGDP01209,Female,HGDP,EAS,Oroqen
HGDP01212,Female,HGDP,EAS,Oroqen
HGDP01213,Male,HGDP,EAS,Daur
HGDP01214,Male,HGDP,EAS,Daur
HGDP01216,Male,HGDP,EAS,Daur
HGDP01217,Male,HGDP,EAS,Daur
HGDP01218,Male,HGDP,EAS,Daur
HGDP01219,Female,HGDP,EAS,Daur
HGDP01220,Male,HGDP,EAS,Daur
HGDP01221,Male,HGDP,EAS,Daur
HGDP01222,Female,HGDP,EAS,Daur
HGDP01224,Male,HGDP,EAS,Mongola
HGDP01225,Male,HGDP,EAS,Mongola
HGDP01226,Male,HGDP,EAS,Mongola
HGDP01227,Male,HGDP,EAS,Mongola
HGDP01229,Male,HGDP,EAS,Mongola
HGDP01230,Male,HGDP,EAS,Mongola
HGDP01231,Female,HGDP,EAS,Mongola
HGDP01232,Female,HGDP,EAS,Mongola
HGDP01233,Male,HGDP,EAS,Hezhen
HGDP01234,Female,HGDP,EAS,Hezhen
HGDP01236,Male,HGDP,EAS,Hezhen
HGDP01237,Male,HGDP,EAS,Hezhen
HGDP01238,Female,HGDP,EAS,Hezhen
HGDP01239,Male,HGDP,EAS,Hezhen
HGDP01241,Male,HGDP,EAS,Hezhen
HGDP01243,Male,HGDP,EAS,Xibo
HGDP01244,Male,HGDP,EAS,Xibo
HGDP01245,Male,HGDP,EAS,Xibo
HGDP01247,Male,HGDP,EAS,Xibo
HGDP01248,Male,HGDP,EAS,Xibo
HGDP01249,Male,HGDP,EAS,Xibo
HGDP01251,Female,HGDP,EAS,Xibo
HGDP01254,Female,HGDP,UAE,Mozabite
HGDP01255,Male,HGDP,UAE,Mozabite
HGDP01256,Male,HGDP,UAE,Mozabite
HGDP01257,Male,HGDP,UAE,Mozabite
HGDP01258,Male,HGDP,UAE,Mozabite
HGDP01259,Male,HGDP,UAE,Mozabite
HGDP01260,Male,HGDP,UAE,Mozabite
HGDP01261,Male,HGDP,UAE,Mozabite
HGDP01262,Male,HGDP,UAE,Mozabite
HGDP01263,Male,HGDP,UAE,Mozabite
HGDP01264,Male,HGDP,UAE,Mozabite
HGDP01265,Male,HGDP,UAE,Mozabite
HGDP01266,Male,HGDP,UAE,Mozabite
HGDP01267,Female,HGDP,UAE,Mozabite
HGDP01268,Male,HGDP,UAE,Mozabite
HGDP01269,Male,HGDP,UAE,Mozabite
HGDP01270,Female,HGDP,UAE,Mozabite
HGDP01271,Male,HGDP,UAE,Mozabite
HGDP01272,Male,HGDP,UAE,Mozabite
HGDP01273,Male,HGDP,UAE,Mozabite
HGDP01275,Female,HGDP,UAE,Mozabite
HGDP01276,Female,HGDP,UAE,Mozabite
HGDP01277,Female,HGDP,UAE,Mozabite
HGDP01279,Male,HGDP,UAE,Mozabite
HGDP01280,Female,HGDP,UAE,Mozabite
HGDP01282,Male,HGDP,UAE,Mozabite
HGDP01283,Male,HGDP,AFR,Mandenka
HGDP01285,Male,HGDP,AFR,Mandenka
HGDP01287,Female,HGDP,EAS,Han
HGDP01288,Male,HGDP,EAS,Han
HGDP01289,Male,HGDP,EAS,Han
HGDP01290,Male,HGDP,EAS,Han
HGDP01291,Female,HGDP,EAS,Han
HGDP01292,Male,HGDP,EAS,Han
HGDP01293,Male,HGDP,EAS,Han
HGDP01294,Male,HGDP,EAS,Han
HGDP01295,Male,HGDP,EAS,Han
HGDP01296,Male,HGDP,EAS,Han
HGDP01298,Male,HGDP,EAS,Uygur
HGDP01299,Male,HGDP,EAS,Uygur
HGDP01300,Male,HGDP,EAS,Uygur
HGDP01301,Male,HGDP,EAS,Uygur
HGDP01302,Male,HGDP,EAS,Uygur
HGDP01303,Male,HGDP,EAS,Uygur
HGDP01304,Male,HGDP,EAS,Uygur
HGDP01305,Female,HGDP,EAS,Uygur
HGDP01309,Male,HGDP,EAS,Dai
HGDP01310,Male,HGDP,EAS,Dai
HGDP01311,Male,HGDP,EAS,Dai
HGDP01313,Male,HGDP,EAS,Dai
HGDP01316,Female,HGDP,EAS,Dai
HGDP01317,Male,HGDP,EAS,Lahu
HGDP01318,Male,HGDP,EAS,Lahu
HGDP01319,Male,HGDP,EAS,Lahu
HGDP01321,Male,HGDP,EAS,Lahu
HGDP01322,Male,HGDP,EAS,Lahu
HGDP01326,Male,HGDP,EAS,Lahu
HGDP01327,Male,HGDP,EAS,She
HGDP01328,Male,HGDP,EAS,She
HGDP01329,Male,HGDP,EAS,She
HGDP01330,Male,HGDP,EAS,She
HGDP01331,Male,HGDP,EAS,She
HGDP01332,Male,HGDP,EAS,She
HGDP01334,Female,HGDP,EAS,She
HGDP01336,Female,HGDP,EAS,She
HGDP01337,Male,HGDP,EAS,Naxi
HGDP01339,Male,HGDP,EAS,Naxi
HGDP01340,Male,HGDP,EAS,Naxi
HGDP01341,Male,HGDP,EAS,Naxi
HGDP01342,Male,HGDP,EAS,Naxi
HGDP01346,Female,HGDP,EAS,Naxi
HGDP01347,Male,HGDP,EAS,Tu
HGDP01348,Male,HGDP,EAS,Tu
HGDP01349,Male,HGDP,EAS,Tu
HGDP01351,Male,HGDP,EAS,Tu
HGDP01352,Male,HGDP,EAS,Tu
HGDP01353,Male,HGDP,EAS,Tu
HGDP01354,Female,HGDP,EAS,Tu
HGDP01356,Female,HGDP,EAS,Tu
HGDP01357,Male,HGDP,EUR,Basque
HGDP01358,Male,HGDP,EUR,Basque
HGDP01359,Male,HGDP,EUR,Basque
HGDP01360,Male,HGDP,EUR,Basque
HGDP01361,Male,HGDP,EUR,Basque
HGDP01362,Male,HGDP,EUR,Basque
HGDP01363,Female,HGDP,EUR,Basque
HGDP01366,Female,HGDP,EUR,Basque
HGDP01367,Female,HGDP,EUR,Basque
HGDP01368,Unknown,HGDP,EUR,Basque
HGDP01369,Female,HGDP,EUR,Basque
HGDP01370,Male,HGDP,EUR,Basque
HGDP01371,Male,HGDP,EUR,Basque
HGDP01372,Male,HGDP,EUR,Basque
HGDP01373,Female,HGDP,EUR,Basque
HGDP01374,Male,HGDP,EUR,Basque
HGDP01375,Male,HGDP,EUR,Basque
HGDP01376,Male,HGDP,EUR,Basque
HGDP01377,Male,HGDP,EUR,Basque
HGDP01378,Male,HGDP,EUR,Basque
HGDP01379,Male,HGDP,EUR,Basque
HGDP01380,Female,HGDP,EUR,Basque
HGDP01381,Female,HGDP,EUR,Adygei
HGDP01382,Female,HGDP,EUR,Adygei
HGDP01383,Male,HGDP,EUR,Adygei
HGDP01384,Female,HGDP,EUR,Adygei
HGDP01385,Male,HGDP,EUR,Adygei
HGDP01386,Female,HGDP,EUR,Adygei
HGDP01387,Female,HGDP,EUR,Adygei
HGDP01388,Female,HGDP,EUR,Adygei
HGDP01396,Male,HGDP,EUR,Adygei
HGDP01397,Male,HGDP,EUR,Adygei
HGDP01398,Female,HGDP,EUR,Adygei
HGDP01399,Female,HGDP,EUR,Adygei
HGDP01400,Female,HGDP,EUR,Adygei
HGDP01403,Male,HGDP,EUR,Adygei
HGDP01404,Male,HGDP,EUR,Adygei
HGDP01405,Male,HGDP,AFR,BantuKenya
HGDP01406,Male,HGDP,AFR,BantuKenya
HGDP01408,Male,HGDP,AFR,BantuKenya
HGDP01411,Male,HGDP,AFR,BantuKenya
HGDP01412,Male,HGDP,AFR,BantuKenya
HGDP01413,Male,HGDP,AFR,BantuKenya
HGDP01415,Male,HGDP,AFR,BantuKenya
HGDP01416,Male,HGDP,AFR,BantuKenya
HGDP01418,Male,HGDP,AFR,BantuKenya
HGDP01419,Male,HGDP,AFR,BantuKenya
NA06984,Male,ThousandGenomes,EUR,CEU
NA06985,Female,ThousandGenomes,EUR,CEU
NA06986,Male,ThousandGenomes,EUR,CEU
NA06989,Female,ThousandGenomes,EUR,CEU
NA06991,Female,ThousandGenomes,EUR,CEU
NA06993,Male,ThousandGenomes,EUR,CEU
NA06994,Male,ThousandGenomes,EUR,CEU
NA06995,Male,ThousandGenomes,EUR,CEU
NA06997,Female,ThousandGenomes,EUR,CEU
NA07000,Female,ThousandGenomes,EUR,CEU
NA07014,Female,ThousandGenomes,EUR,CEU
NA07019,Female,ThousandGenomes,EUR,CEU
NA07022,Male,ThousandGenomes,EUR,CEU
NA07029,Male,ThousandGenomes,EUR,CEU
NA07031,Female,ThousandGenomes,EUR,CEU
NA07034,Male,ThousandGenomes,EUR,CEU
NA07037,Female,ThousandGenomes,EUR,CEU
NA07045,Female,ThousandGenomes,EUR,CEU
NA07048,Male,ThousandGenomes,EUR,CEU
NA07051,Male,ThousandGenomes,EUR,CEU
NA07055,Female,ThousandGenomes,EUR,CEU
NA07056,Female,ThousandGenomes,EUR,CEU
NA07345,Female,ThousandGenomes,EUR,CEU
NA07346,Female,ThousandGenomes,EUR,CEU
NA07347,Male,ThousandGenomes,EUR,CEU
NA07348,Unknown,ThousandGenomes,EUR,CEU
NA07349,Male,ThousandGenomes,EUR,CEU
NA07357,Male,ThousandGenomes,EUR,CEU
NA07435,Male,ThousandGenomes,EUR,CEU
NA10830,Male,ThousandGenomes,EUR,CEU
NA10831,Female,ThousandGenomes,EUR,CEU
NA10835,Male,ThousandGenomes,EUR,CEU
NA10836,Female,ThousandGenomes,EUR,CEU
NA10837,Male,ThousandGenomes,EUR,CEU
NA10838,Male,ThousandGenomes,EUR,CEU
NA10839,Female,ThousandGenomes,EUR,CEU
NA10840,Female,ThousandGenomes,EUR,CEU
NA10842,Male,ThousandGenomes,EUR,CEU
NA10843,Female,ThousandGenomes,EUR,CEU
NA10845,Male,ThousandGenomes,EUR,CEU
NA10846,Male,ThousandGenomes,EUR,CEU
NA10847,Female,ThousandGenomes,EUR,CEU
NA10851,Male,ThousandGenomes,EUR,CEU
NA10852,Female,ThousandGenomes,EUR,CEU
NA10854,Unknown,ThousandGenomes,EUR,CEU
NA10855,Female,ThousandGenomes,EUR,CEU
NA10856,Male,ThousandGenomes,EUR,CEU
NA10857,Male,ThousandGenomes,EUR,CEU
NA10859,Female,ThousandGenomes,EUR,CEU
NA10860,Male,ThousandGenomes,EUR,CEU
NA10861,Female,ThousandGenomes,EUR,CEU
NA10863,Female,ThousandGenomes,EUR,CEU
NA10864,Female,ThousandGenomes,EUR,CEU
NA10865,Male,ThousandGenomes,EUR,CEU
NA11829,Male,ThousandGenomes,EUR,CEU
NA11830,Female,ThousandGenomes,EUR,CEU
NA11831,Male,ThousandGenomes,EUR,CEU
NA11832,Female,ThousandGenomes,EUR,CEU
NA11839,Male,ThousandGenomes,EUR,CEU
NA11840,Female,ThousandGenomes,EUR,CEU
NA11843,Male,ThousandGenomes,EUR,CEU
NA11881,Male,ThousandGenomes,EUR,CEU
NA11882,Female,ThousandGenomes,EUR,CEU
NA11891,Male,ThousandGenomes,EUR,CEU
NA11892,Female,ThousandGenomes,EUR,CEU
NA11893,Male,ThousandGenomes,EUR,CEU
NA11894,Female,ThousandGenomes,EUR,CEU
NA11917,Male,ThousandGenomes,EUR,CEU
NA11918,Female,ThousandGenomes,EUR,CEU
NA11919,Male,ThousandGenomes,EUR,CEU
NA11920,Female,ThousandGenomes,EUR,CEU
NA11930,Male,ThousandGenomes,EUR,CEU
NA11931,Female,ThousandGenomes,EUR,CEU
NA11932,Male,ThousandGenomes,EUR,CEU
NA11933,Female,ThousandGenomes,EUR,CEU
NA11992,Male,ThousandGenomes,EUR,CEU
NA11993,Female,ThousandGenomes,EUR,CEU
NA11994,Male,ThousandGenomes,EUR,CEU
NA11995,Female,ThousandGenomes,EUR,CEU
NA12003,Male,ThousandGenomes,EUR,CEU
NA12004,Female,ThousandGenomes,EUR,CEU
NA12005,Male,ThousandGenomes,EUR,CEU
NA12006,Female,ThousandGenomes,EUR,CEU
NA12043,Male,ThousandGenomes,EUR,CEU
NA12044,Female,ThousandGenomes,EUR,CEU
NA12045,Male,ThousandGenomes,EUR,CEU
NA12046,Female,ThousandGenomes,EUR,CEU
NA12056,Male,ThousandGenomes,EUR,CEU
NA12057,Female,ThousandGenomes,EUR,CEU
NA12058,Female,ThousandGenomes,EUR,CEU
NA12144,Male,ThousandGenomes,EUR,CEU
NA12145,Female,ThousandGenomes,EUR,CEU
NA12146,Male,ThousandGenomes,EUR,CEU
NA12154,Male,ThousandGenomes,EUR,CEU
NA12155,Male,ThousandGenomes,EUR,CEU
NA12156,Female,ThousandGenomes,EUR,CEU
NA12234,Female,ThousandGenomes,EUR,CEU
NA12236,Female,ThousandGenomes,EUR,CEU
NA12239,Female,ThousandGenomes,EUR,CEU
NA12248,Male,ThousandGenomes,EUR,CEU
NA12249,Female,ThousandGenomes,EUR,CEU
NA12264,Male,ThousandGenomes,EUR,CEU
NA12272,Male,ThousandGenomes,EUR,CEU
NA12273,Female,ThousandGenomes,EUR,CEU
NA12274,Male,ThousandGenomes,EUR,CEU
NA12275,Female,ThousandGenomes,EUR,CEU
NA12282,Male,ThousandGenomes,EUR,CEU
NA12283,Female,ThousandGenomes,EUR,CEU
NA12286,Male,ThousandGenomes,EUR,CEU
NA12287,Female,ThousandGenomes,EUR,CEU
NA12329,Female,ThousandGenomes,EUR,CEU
NA12335,Male,ThousandGenomes,EUR,CEU
NA12336,Female,ThousandGenomes,EUR,CEU
NA12340,Male,ThousandGenomes,EUR,CEU
NA12341,Female,ThousandGenomes,EUR,CEU
NA12342,Male,ThousandGenomes,EUR,CEU
NA12343,Female,ThousandGenomes,EUR,CEU
NA12344,Male,ThousandGenomes,EUR,CEU
NA12347,Male,ThousandGenomes,EUR,CEU
NA12348,Female,ThousandGenomes,EUR,CEU
NA12376,Female,ThousandGenomes,EUR,CEU
NA12383,Female,ThousandGenomes,EUR,CEU
NA12386,Female,ThousandGenomes,EUR,CEU
NA12399,Male,ThousandGenomes,EUR,CEU
NA12400,Female,ThousandGenomes,EUR,CEU
NA12413,Male,ThousandGenomes,EUR,CEU
NA12414,Female,ThousandGenomes,EUR,CEU
NA12485,Male,ThousandGenomes,EUR,CEU
NA12489,Female,ThousandGenomes,EUR,CEU
NA12546B,Male,ThousandGenomes,EUR,CEU
NA12707,Male,ThousandGenomes,EUR,CEU
NA12716,Male,ThousandGenomes,EUR,CEU
NA12717,Female,ThousandGenomes,EUR,CEU
NA12718,Female,ThousandGenomes,EUR,CEU
NA12739,Male,ThousandGenomes,EUR,CEU
NA12740,Female,ThousandGenomes,EUR,CEU
NA12748,Male,ThousandGenomes,EUR,CEU
NA12749,Female,ThousandGenomes,EUR,CEU
NA12750,Male,ThousandGenomes,EUR,CEU
NA12751,Female,ThousandGenomes,EUR,CEU
NA12752,Male,ThousandGenomes,EUR,CEU
NA12753,Female,ThousandGenomes,EUR,CEU
NA12760,Male,ThousandGenomes,EUR,CEU
NA12761,Female,ThousandGenomes,EUR,CEU
NA12762,Male,ThousandGenomes,EUR,CEU
NA12763,Female,ThousandGenomes,EUR,CEU
NA12766,Male,ThousandGenomes,EUR,CEU
NA12767,Female,ThousandGenomes,EUR,CEU
NA12775,Male,ThousandGenomes,EUR,CEU
NA12776,Female,ThousandGenomes,EUR,CEU
NA12777,Male,ThousandGenomes,EUR,CEU
NA12778,Female,ThousandGenomes,EUR,CEU
NA12801,Male,ThousandGenomes,EUR,CEU
NA12802,Female,ThousandGenomes,EUR,CEU
NA12812,Male,ThousandGenomes,EUR,CEU
